Date,price,returns,ema7,ema21,ema_fast_slope,ema_slow_slope,vol_benchmark,vol_stddev,vol_forecast_final,vol_pred_cons,garch_vol,heston_vol,zscore,0,buy_gate,sell_gate,trend_up,trend_down,ema_cross_up,ema_cross_down,buy_signal,sell_signal,position
2024-11-07,5973.10009765625,0.007431229727488331,5848.389003640462,5806.012886303973,0.006959596188291058,0.0027973281649479667,0.11437632609399025,0.017132280773696454,0.175064789722867,0.175064789722867,0.20986724065875728,0.14026233878697672,3.54234584586385,Neutral,True,True,True,False,False,False,True,False,1
2024-11-08,5995.5400390625,0.0037568333092317108,5885.176762495971,5823.242627463838,0.006135854087509634,0.0028737596692890695,0.12126336844304922,0.014116164196351274,0.16737010292385168,0.16737010292385168,0.19739791725039066,0.1373422885973127,3.266236765134828,Neutral,True,True,True,False,False,False,True,False,1
2024-11-11,6001.35009765625,0.0009690634297987444,5914.220096286041,5839.434215663148,0.004839466672909481,0.0026979909413439164,0.12473876623015254,0.014121900568602281,0.16341636136664692,0.16341636136664692,0.18228564744155565,0.1445470752917382,2.7388378036372556,Neutral,True,True,True,False,False,False,True,False,1
2024-11-12,5983.990234375,-0.00289265965137242,5931.6626308082805,5852.57567190968,0.002914866809447865,0.0021961025556225906,0.1279542456796712,0.013150961290772239,0.15451241431972526,0.15451241431972526,0.16754013539733215,0.14148469324211838,2.0194849678927564,Neutral,True,True,True,False,False,False,True,False,1
2024-11-13,5985.3798828125,0.00023222772482434095,5945.091943809335,5864.648781991755,0.0022436859921987585,0.002017100053539425,0.1312455895248512,0.009521311738827724,0.15264259311781606,0.15264259311781606,0.15556229199820285,0.14972289423742927,2.2472747642226967,Neutral,True,True,True,False,False,False,True,False,1
2024-11-14,5949.169921875,-0.006049734794859041,5946.111438325752,5872.33252198114,0.00017136752350407853,0.001291565057022947,0.1344031562376807,0.002306868034091174,0.1465143955507384,0.1465143955507384,0.14402507607463963,0.14900371502683715,2.4222478626115374,Neutral,True,True,True,False,False,False,False,False,1
2024-11-15,5870.6201171875,-0.013203489851361216,5927.238608041189,5872.176848818081,-0.00321479331106925,-2.6517328655485175e-05,0.1350763082408207,0.0033916772531262843,0.13834079790221326,0.13834079790221326,0.13930854419399563,0.1373730516104309,0.6528979322785122,Neutral,True,False,True,False,False,False,False,False,1
2024-11-18,5893.6201171875,0.003917814394541086,5918.833985327767,5874.126236851665,-0.0014260543683349905,0.0003307624167867592,0.13572270956372517,0.004069293905934054,0.14952470746585048,0.14952470746585048,0.1543089444219023,0.14474047050979866,2.76039958042506,Neutral,True,True,True,False,False,False,False,True,1
2024-11-19,5916.97998046875,0.003963584828470035,5918.370484113013,5878.022031725946,-7.833408534145257e-05,0.0006584093384024395,0.13647921652928113,0.0045999766877988305,0.1446361035740813,0.1446361035740813,0.1450466585568444,0.14422554859131817,1.631377408960033,Neutral,True,True,True,False,False,False,False,False,1
2024-11-20,5917.10986328125,2.195086225209586e-05,5918.055328905072,5881.575470958247,-5.3261679303343025e-05,0.0006005362946447223,0.13735569100352654,0.004887769763290524,0.1371629973020951,0.14077853676285643,0.1371629973020951,0.14439407622361775,-0.0385387402862869,Neutral,True,False,True,False,False,False,False,False,1
